Zipcode,Population Total,Bachelor population,Master population,Professional school degree population,Doctorate degree population
ZCTA5 01915,27826,7865,3672,625,588
ZCTA5 01921,5795,2119,1024,324,102
ZCTA5 01922,1979,846,274,14,32
ZCTA5 01923,19633,5266,2224,364,248
ZCTA5 01929,2593,770,408,113,33
ZCTA5 01930,21863,4697,2238,339,251
ZCTA5 01937,134,14,0,13,0
ZCTA5 01938,9989,2749,1703,332,196
ZCTA5 01940,9355,2805,1424,446,85
ZCTA5 01944,3891,1207,763,174,213
ZCTA5 01945,14395,5125,3529,830,347
ZCTA5 01949,6597,1546,664,183,59
ZCTA5 01950,13356,4562,2744,484,209
ZCTA5 01951,2965,961,684,142,17
ZCTA5 01952,6278,1224,465,83,57
ZCTA5 01960,37845,7146,2710,689,484
ZCTA5 01966,5561,1456,949,150,109
ZCTA5 01969,4422,996,548,69,43
ZCTA5 01970,28855,6974,3020,530,478
ZCTA5 01982,5278,1944,1153,280,110
ZCTA5 01983,4478,1311,872,313,145
ZCTA5 01984,2500,1008,498,96,86
ZCTA5 01985,2926,998,419,202,67
ZCTA5 02019,11831,2221,878,206,36
ZCTA5 02021,15744,5296,2188,721,336
ZCTA5 02025,5493,2274,899,421,126
ZCTA5 02026,18234,4953,2611,520,496
ZCTA5 02030,3738,1498,998,401,263
ZCTA5 02032,3082,742,549,93,71
ZCTA5 02035,12227,4072,1407,274,44
ZCTA5 02038,21127,7058,3408,504,485
ZCTA5 02043,15715,5807,3335,1074,404
ZCTA5 02045,8399,2139,882,329,173
ZCTA5 02047,135,0,0,0,0
ZCTA5 02048,15172,4795,2254,407,515
ZCTA5 02050,17912,5527,2134,368,123
ZCTA5 02052,7852,2843,1807,619,183
ZCTA5 02053,8672,2961,1385,126,221
ZCTA5 02054,5616,1740,837,114,56
ZCTA5 02056,8078,2557,1222,253,131
ZCTA5 02061,7135,2576,1145,391,73
ZCTA5 02062,20924,5918,2787,301,165
ZCTA5 02066,12354,4444,1922,366,275
ZCTA5 02067,12038,4132,3005,1081,617
ZCTA5 02071,1309,244,82,0,13
ZCTA5 02072,20348,4489,1988,437,163
ZCTA5 02081,13253,4444,1953,478,166
ZCTA5 02090,10334,3685,2290,755,424
ZCTA5 02093,7525,2397,1012,216,102
ZCTA5 02108,3168,1200,644,425,269
ZCTA5 02109,3390,1299,658,338,60
ZCTA5 02110,1818,681,573,182,145
ZCTA5 02111,5271,1414,796,385,199
ZCTA5 02113,5972,3124,1054,319,130
ZCTA5 02114,10024,3730,2261,1434,764
ZCTA5 02115,11203,3358,1984,1035,752
ZCTA5 02116,16781,5543,4245,2101,928
ZCTA5 02118,20285,5190,3303,1857,1240
ZCTA5 02119,17088,2803,1008,136,149
ZCTA5 02120,6631,1424,712,272,336
ZCTA5 02121,17075,1526,617,104,49
ZCTA5 02122,16848,2628,970,90,40
ZCTA5 02124,35217,5483,2207,344,252
ZCTA5 02125,23316,5206,1991,414,170
ZCTA5 02126,19252,2018,853,93,41
ZCTA5 02127,28513,11118,3808,763,427
ZCTA5 02128,31457,4140,1687,373,249
ZCTA5 02129,13489,4407,2606,937,417
ZCTA5 02130,29366,8552,6266,2145,1887
ZCTA5 02131,22700,4779,3445,645,486
ZCTA5 02132,21374,5718,4334,725,708
ZCTA5 02134,11569,4075,1723,524,327
ZCTA5 02135,27295,9670,4560,1082,1586
ZCTA5 02136,20723,3248,1668,183,108
ZCTA5 02138,21895,6618,6122,1944,3615
ZCTA5 02139,24931,7270,6431,1594,2993
ZCTA5 02140,14198,3615,3970,719,1564
ZCTA5 02141,9768,2833,2075,595,885
ZCTA5 02142,1952,629,726,111,328
ZCTA5 02143,20121,6419,4546,693,1312
ZCTA5 02144,18691,6319,4545,851,1301
ZCTA5 02145,18628,4030,2084,258,492
ZCTA5 02148,43075,7861,4696,731,861
ZCTA5 02149,29318,3522,997,245,158
ZCTA5 02150,24229,2441,1098,382,179
ZCTA5 02151,39197,5220,1872,264,278
ZCTA5 02152,13503,3109,1253,266,66
ZCTA5 02155,41367,9818,6185,1274,1271
ZCTA5 02163,1481,909,368,147,18
ZCTA5 02169,41547,10589,4223,846,628
ZCTA5 02170,14261,3700,1481,222,253
ZCTA5 02171,13558,3704,1655,355,384
ZCTA5 02176,20192,6200,3333,547,616
ZCTA5 02180,16318,4000,1798,486,250
ZCTA5 02184,25792,6119,2979,446,398
ZCTA5 02186,17256,5329,3615,984,760
ZCTA5 02188,11393,2684,855,215,36
ZCTA5 02189,10512,2254,742,144,32
ZCTA5 02190,12508,2831,1183,183,88
ZCTA5 02191,6201,1346,550,47,64
ZCTA5 02199,1106,514,184,221,39
ZCTA5 02203,0,0,0,0,0
ZCTA5 02210,1893,850,459,92,157
